/pml/apa/5522353653.html,"49.250605","-122.862192",$900,1,1,730
/rch/apa/5517550696.html,"49.117830","-123.158230",$2400,2,2,1100
/rds/apa/5522351646.html,"49.027345","-122.865472",$1650,2,2,1050
/van/apa/5518467765.html,"49.268645","-123.169098",$1950,2,1,950
/rds/apa/5522346916.html,"49.103348","-122.698081",$1150,3,1.5,975
/van/apa/5513698742.html,"49.206832","-123.140528",$1150,1,1,570
/van/apa/5477751967.html,"49.238300","-123.154218",$3200,4,2,1737
/van/apa/5522343635.html,"49.253846","-123.049571",$1225,1,1.5,525
/van/apa/5522343278.html,"49.288607","-123.127183",$1650,0,1,420
/van/apa/5514953879.html,"","",$850,0,1,650
/rds/apa/5522342117.html,"49.047404","-122.876587",$3500,5,3,2850
/rds/apa/5522340899.html,"49.170700","-122.732600",$850,1,1,684
/nvn/apa/5519726053.html,"49.321119","-123.074245",$1500,1,1,750
/rch/apa/5522338614.html,"49.157374","-123.143798",$1350,2,1,960
/van/apa/5502567772.html,"49.278800","-123.113900",$2300,1,1,733
/van/apa/5500497699.html,"49.276925","-123.118491",$2300,1,1,600
/nvn/apa/5522335967.html,"49.321119","-123.074245",$2000,2,1,1000
/nvn/apa/5522335601.html,"49.321119","-123.074245",$1650,1,1,760
/van/apa/5499678117.html,"49.279087","-123.038346",$1800,2,1,650
/van/apa/5502506374.html,"49.279689","-123.059624",$1475,0,1,525
/nvn/apa/5522334383.html,"49.336706","-123.092132",$5800,5,5,3005
/pml/apa/5516318003.html,"49.283218","-122.793546",$1750,2,2,850
/rds/apa/5522333465.html,"49.158575","-122.779170",$850,1,1,530
/van/apa/5522333106.html,"49.249961","-123.107451",$1525,2,1,900
/van/apa/5508136927.html,"49.274236","-123.124583",$3980,2,2,1227
/van/apa/5519484641.html,"49.273461","-123.118200",$2200,1,550,open house dates
/nvn/apa/5522330785.html,"49.315693","-122.982672",$1600,2,1,950
/bnc/apa/5517858567.html,"49.227795","-122.994484",$1500,1,1,560
/pml/apa/5522327375.html,"49.228829","-122.603209",$1800,3,1,1076
/pml/apa/5521497774.html,"49.210440","-122.648109",$1000,1,1,900
/van/apa/5509716990.html,"49.276793","-123.125217",$3450,1,1,930
/rch/apa/5519314739.html,,,$900,1,1,550
/bnc/apa/5506176473.html,"49.263576","-122.957635",$3150,6,3,2200
/rds/apa/5508497359.html,"49.073308","-122.787535",$4470,4,4,4500
/rds/apa/5522322221.html,"49.111807","-122.803977",$850,2,1,975
/van/apa/5522320362.html,"49.269988","-123.156822",$1450,1,1,700
/rds/apa/5492522537.html,"49.118209","-122.865021",$1850,3,2.5,1800
/rds/apa/5522318485.html,"49.111807","-122.803977",$800,1,1,500
/pml/apa/5519329506.html,"49.231051","-122.787817",$1600,2,1,1000
/van/apa/5522314791.html,"49.276307","-123.115555",$1900,1,1,625
/rds/apa/5522311863.html,"49.187010","-122.845522",$1450,2,1.5,766
/rds/apa/5522298629.html,,,$1200,2,1,1100
/rch/apa/5522309746.html,"49.167479","-123.122256",$1350,1,1,640
/nvn/apa/5482641920.html,"49.362269","-123.130560",$4300,5,4,3600
/nvn/apa/5482640139.html,"49.347945","-123.141275",$5000,4,3,3000
/nvn/apa/5482638564.html,"49.339981","-123.157235",$14000,8,7,7200
/nvn/apa/5497970014.html,"49.351827","-123.165708",$8300,5,6,7100
/nvn/apa/5505325640.html,"49.363092","-123.126397",$4300,5,3,2660
/van/apa/5505001526.html,"49.288250","-123.124815",$3400,3,2,1200
/van/apa/5522300386.html,"49.258451","-123.194160",$6500,5,6,3200
/van/apa/5522281952.html,"49.269709","-123.106098",$1250,1,1,720
/van/apa/5519323480.html,"49.205924","-123.041786",$2000,2,2,900
/rch/apa/5522295260.html,"49.156696","-123.167022",$2400,3,2,2500
/bnc/apa/5520864581.html,"49.288311","-123.015082",$3000,4,3,1800
